1.608,4.028,0.62,N
1.604,1.6,1.58,N
1.604,1.616,1.6,N
1.624,1.592,1.608,N
1.624,1.592,1.608,N
1.644,2.104,1.136,V
2.104,1.136,1.604,N
1.636,1.688,0.716,N
1.688,0.716,0.832,N
0.832,0.956,0.576,N
0.932,0.6,0.704,N
0.6,0.704,0.884,N
0.576,0.704,0.884,V
0.704,0.884,0.82,N
0.884,0.82,0.744,N
0.82,0.744,0.82,V
0.744,0.82,0.78,N
0.82,0.78,0.8,N
0.78,0.8,0.8,N
0.8,0.8,0.78,N
0.8,0.78,0.8,N
0.78,0.8,1.592,N
0.8,1.592,0.788,N
0.748,0.768,0.788,N
0.768,0.788,0.784,N
0.788,0.784,0.784,N
0.784,0.784,0.768,N
0.784,0.768,0.796,N
0.768,0.796,1.604,N
0.796,1.604,0.78,N
1.604,0.78,0.788,N
0.78,0.788,0.784,N
0.788,0.784,0.792,N
0.784,0.792,0.784,N
0.792,0.784,0.792,N
0.792,0.784,0.792,N
1.592,1.612,1.6,N
1.612,1.6,1.624,N
1.6,1.624,1.584,N
0.816,0.824,0.796,N
0.796,0.816,0.804,N
0.816,0.804,0.808,N
0.804,0.808,0.812,N
0.808,0.812,0.828,N
0.812,0.828,0.848,N
0.808,0.816,0.832,N
0.816,0.832,0.792,V
0.792,0.832,0.8,N
0.832,0.8,0.792,V
0.832,0.8,0.792,N
0.8,0.792,0.804,N
0.792,0.804,0.816,N
1.596,1.592,1.624,N
1.592,1.624,0.8,N
1.592,1.624,0.8,N
1.624,0.8,0.8,N
0.8,0.8,0.808,N
0.8,0.808,0.796,N
1.628,1.656,1.6,N
1.656,1.6,1.616,N
1.6,1.616,1.648,N
1.616,1.648,0.832,N
1.648,0.832,0.816,N
0.832,0.816,0.824,V
1.616,1.616,1.624,N
1.604,1.632,1.62,N
1.632,1.62,1.616,N
1.62,1.616,1.616,N
1.616,1.616,1.592,N
1.62,1.612,1.64,N
1.64,1.632,1.656,N
1.632,1.656,1.648,V
1.656,1.648,1.648,N
1.656,1.648,1.648,N
1.648,1.648,1.632,N
1.648,1.632,1.644,V
1.648,1.632,1.644,N
1.632,1.644,1.628,V
1.644,1.628,1.648,N
1.628,1.648,1.624,N
1.648,1.624,1.64,V
1.624,1.64,1.64,N
1.64,1.632,1.64,V
1.632,1.64,1.652,N
1.64,1.652,1.624,N
1.652,1.624,1.628,V
1.624,1.628,1.608,N
1.628,1.608,1.62,N
1.62,1.644,0.832,N
1.62,1.644,0.832,V
1.644,0.832,0.824,N
0.816,0.792,0.8,N
