0.374,0.378,0.384,0.384,0.386,0.386,N
0.376,0.378,0.384,0.386,0.386,0.386,N
0.374,0.38,0.384,0.386,0.386,0.386,N
0.378,0.378,0.384,0.386,0.386,0.386,N
0.378,0.384,0.384,0.388,0.386,0.386,N
0.376,0.382,0.386,0.386,0.384,0.386,N
0.378,0.384,0.386,0.386,0.388,0.386,N
0.376,0.38,0.384,0.384,0.386,0.386,N
0.376,0.378,0.384,0.384,0.386,0.386,N
0.376,0.38,0.384,0.386,0.386,0.386,N
0.376,0.382,0.384,0.386,0.386,0.386,N
0.378,0.378,0.384,0.386,0.386,0.388,N
0.378,0.378,0.384,0.384,0.388,0.386,N
0.376,0.378,0.384,0.386,0.386,0.384,N
0.374,0.378,0.386,0.386,0.384,0.386,N
0.376,0.382,0.384,0.384,0.388,0.386,N
0.384,0.376,0.382,0.386,0.386,0.386,N
0.374,0.378,0.384,0.386,0.386,0.386,N
0.374,0.38,0.384,0.386,0.386,0.386,N
0.382,0.386,0.386,0.386,0.386,0.386,N
0.382,0.384,0.384,0.386,0.386,0.388,N
0.38,0.384,0.384,0.386,0.386,0.386,N
0.384,0.384,0.386,0.386,0.386,0.386,N
0.384,0.384,0.386,0.386,0.386,0.386,N
0.38,0.384,0.386,0.386,0.386,0.386,N
0.38,0.384,0.384,0.386,0.386,0.386,N
0.382,0.384,0.386,0.386,0.386,0.386,N
0.38,0.384,0.386,0.386,0.386,0.386,N
0.378,0.38,0.384,0.386,0.386,0.386,N
0.378,0.38,0.384,0.384,0.386,0.386,N
0.376,0.38,0.384,0.386,0.386,0.388,N
0.378,0.38,0.384,0.386,0.386,0.388,N
0.382,0.386,0.386,0.388,0.386,0.386,N
0.38,0.382,0.384,0.386,0.388,0.386,N
0.38,0.384,0.386,0.386,0.388,0.386,N
0.38,0.384,0.384,0.388,0.386,0.386,N
0.384,0.384,0.386,0.386,0.386,0.386,N
0.384,0.386,0.386,0.386,0.386,0.386,N
0.382,0.384,0.384,0.386,0.388,0.386,N
0.378,0.38,0.384,0.384,0.388,0.386,N
0.378,0.378,0.384,0.388,0.386,0.386,N
0.382,0.384,0.386,0.386,0.388,0.386,N
0.38,0.384,0.386,0.386,0.388,0.388,N
0.382,0.384,0.384,0.384,0.388,0.386,N
0.38,0.38,0.384,0.388,0.386,0.386,N
0.382,0.386,0.386,0.386,0.388,0.388,N
0.382,0.384,0.386,0.386,0.388,0.388,N
0.386,0.384,0.386,0.388,0.386,0.386,N
