Number,Normal,PAC,PVC,pred_Normal,pred_PAC,pred_PVC,tp_PAC,fp_PAC,tn_PAC,fn_PAC,acc_PAC,sp_PAC,sn_PAC,tp_PVC,fp_PVC,tn_PVC,fn_PVC,acc_PVC,sp_PVC,sn_PVC
211,999,0,0,980,3,16,0,3,996,0,99.69969969969969,99.69969969969969,0.0,0,16,983,0,98.3983983983984,98.3983983983984,0.0
454,1573,6,54,1254,98,281,6,92,1535,0,94.36619718309859,94.34542102028273,100.0,54,227,1352,0,86.09920391916718,85.623812539582,100.0
482,5275,0,48,4888,108,327,0,108,5215,0,97.97106894608304,97.97106894608304,0.0,48,279,4996,0,94.75859477738118,94.71090047393365,100.0
281,3310,0,27,2491,41,805,0,41,3296,0,98.77135151333533,98.77135151333533,0.0,27,778,2532,0,76.68564578963141,76.49546827794562,100.0
218,7474,0,3,7443,7,27,0,7,7470,0,99.90637956399625,99.90637956399625,0.0,3,24,7450,0,99.67901564798716,99.67888680759968,100.0
444,10475,0,6,10347,21,113,0,21,10460,0,99.79963743917565,99.79963743917565,0.0,6,107,10368,0,98.97910504722832,98.97852028639618,100.0
443,11543,23,220,8591,836,2359,23,813,10950,0,93.10198540641439,93.08849783218567,100.0,218,2141,9425,2,81.81741048701849,81.48884661940168,99.0909090909091
485,6738,3,134,5161,76,1638,3,73,6799,0,98.93818181818182,98.93771827706635,100.0,134,1504,5237,0,78.12363636363636,77.6887702121347,100.0
484,8673,2,18,7816,139,738,2,137,8554,0,98.42401932589439,98.42365665631114,100.0,18,720,7955,0,91.717473829518,91.70028818443804,100.0
212,9063,12,48,8428,215,480,12,203,8908,0,97.77485476268771,97.77192404785424,100.0,48,432,8643,0,95.26471555409405,95.2396694214876,100.0
437,490,0,0,382,42,66,0,42,448,0,91.42857142857143,91.42857142857143,0.0,0,66,424,0,86.53061224489797,86.53061224489797,0.0
219,5109,0,1,4996,9,105,0,9,5101,0,99.82387475538161,99.82387475538161,0.0,1,104,5005,0,97.96477495107632,97.96437659033079,100.0
452,10119,23,380,6100,998,3424,23,975,9524,0,90.7337008173351,90.71340127631203,100.0,379,3045,7097,1,71.05113096369512,69.97633602839677,99.73684210526315
401,6982,0,1,6504,178,301,0,178,6805,0,97.45095231275955,97.45095231275955,0.0,1,300,6682,0,95.70385221251611,95.70323689487253,100.0
451,1784,0,1,1653,55,77,0,55,1730,0,96.9187675070028,96.9187675070028,0.0,1,76,1708,0,95.74229691876751,95.73991031390135,100.0
230,5235,0,2,4774,197,266,0,197,5040,0,96.23830437273247,96.23830437273247,0.0,2,264,4971,0,94.9589459614283,94.95702005730658,100.0
439,9821,0,3,9618,39,167,0,39,9785,0,99.60301302931596,99.60301302931596,0.0,3,164,9657,0,98.33061889250814,98.33010895020874,100.0
216,6876,0,1,6157,198,522,0,198,6679,0,97.12083757452378,97.12083757452378,0.0,1,521,6355,0,92.42402210266104,92.42292030250145,100.0
476,2540,0,11,1954,138,459,0,138,2413,0,94.59035672285378,94.59035672285378,0.0,11,448,2092,0,82.43825950607605,82.36220472440945,100.0
403,3825,0,0,3739,7,79,0,7,3818,0,99.81699346405229,99.81699346405229,0.0,0,79,3746,0,97.93464052287581,97.93464052287581,0.0
