Number,Normal,PAC,PVC,pred_Normal,pred_PAC,pred_PVC,tp_PAC,fp_PAC,tn_PAC,fn_PAC,acc_PAC,sp_PAC,sn_PAC,tp_PVC,fp_PVC,tn_PVC,fn_PVC,acc_PVC,sp_PVC,sn_PVC
211,999,0,0,980,3,16,0,3,996,0,99.69969969969969,99.69969969969969,0.0,0,16,983,0,98.3983983983984,98.3983983983984,0.0
454,1573,6,54,1218,109,306,6,103,1524,0,93.69259032455604,93.66933005531654,100.0,54,252,1327,0,84.56827924066135,84.04053198226725,100.0
482,5275,0,48,4837,132,354,0,132,5191,0,97.52019537854594,97.52019537854594,0.0,48,306,4969,0,94.25136201390194,94.19905213270142,100.0
281,3310,0,27,2340,50,947,0,50,3287,0,98.5016481869943,98.5016481869943,0.0,27,920,2390,0,72.43032664069523,72.20543806646525,100.0
218,7474,0,3,7433,8,36,0,8,7469,0,99.89300521599573,99.89300521599573,0.0,3,33,7441,0,99.55864651598235,99.55846936044955,100.0
444,10475,0,6,10344,22,115,0,22,10459,0,99.79009636485068,99.79009636485068,0.0,6,109,10366,0,98.96002289857839,98.95942720763723,100.0
443,11543,23,220,8185,1006,2595,23,983,10780,0,91.65959613100289,91.64328827680013,100.0,218,2377,9189,2,79.81503478703547,79.44838319211482,99.0909090909091
485,6738,3,134,4935,95,1845,3,92,6780,0,98.66181818181818,98.66123399301513,100.0,134,1711,5030,0,75.11272727272727,74.61800919744846,100.0
484,8673,2,18,7735,163,795,2,161,8530,0,98.14793512021166,98.14750891727074,100.0,18,777,7898,0,91.0617738410215,91.04322766570606,100.0
212,9063,12,48,8343,260,520,12,248,8863,0,97.28159596623918,97.27801558555592,100.0,48,472,8603,0,94.82626329058424,94.79889807162535,100.0
437,490,0,0,367,52,71,0,52,438,0,89.38775510204081,89.38775510204081,0.0,0,71,419,0,85.51020408163265,85.51020408163265,0.0
219,5109,0,1,4987,9,114,0,9,5101,0,99.82387475538161,99.82387475538161,0.0,1,113,4996,0,97.78864970645793,97.78821687218634,100.0
452,10119,23,380,5477,1208,3837,23,1185,9314,0,88.73788253183805,88.71321078197923,100.0,379,3458,6684,1,67.12602166888423,65.9041609150069,99.73684210526315
401,6982,0,1,6421,214,348,0,214,6769,0,96.93541457826149,96.93541457826149,0.0,1,347,6635,0,95.03078905914364,95.0300773417359,100.0
451,1784,0,1,1631,67,87,0,67,1718,0,96.24649859943978,96.24649859943978,0.0,1,86,1698,0,95.18207282913164,95.17937219730942,100.0
230,5235,0,2,4705,252,280,0,252,4985,0,95.18808478136339,95.18808478136339,0.0,2,278,4957,0,94.69161733817072,94.68958930276982,100.0
439,9821,0,3,9603,41,180,0,41,9783,0,99.58265472312704,99.58265472312704,0.0,3,177,9644,0,98.19828990228014,98.19773953772528,100.0
216,6876,0,1,6109,241,527,0,241,6636,0,96.49556492656681,96.49556492656681,0.0,1,526,6350,0,92.35131598080558,92.35020360674811,100.0
476,2540,0,11,1855,164,532,0,164,2387,0,93.57114856918855,93.57114856918855,0.0,11,521,2019,0,79.5766366130929,79.48818897637796,100.0
403,3825,0,0,3726,7,92,0,7,3818,0,99.81699346405229,99.81699346405229,0.0,0,92,3733,0,97.59477124183007,97.59477124183007,0.0
