Number,Normal,PAC,PVC,pred_Normal,pred_PAC,pred_PVC,tp_PAC,fp_PAC,tn_PAC,fn_PAC,acc_PAC,sp_PAC,sn_PAC,tp_PVC,fp_PVC,tn_PVC,fn_PVC,acc_PVC,sp_PVC,sn_PVC
211,999,0,0,987,1,11,0,1,998,0,99.8998998998999,99.8998998998999,0.0,0,11,988,0,98.8988988988989,98.8988988988989,0.0
454,1573,6,54,1367,58,208,6,52,1575,0,96.8156766687079,96.8039336201598,100.0,54,154,1425,0,90.56950398040416,90.2469917669411,100.0
482,5275,0,48,4985,72,266,0,72,5251,0,98.6473792973887,98.6473792973887,0.0,48,218,5057,0,95.9045650948713,95.86729857819905,100.0
281,3310,0,27,2860,21,456,0,21,3316,0,99.3706922385376,99.3706922385376,0.0,27,429,2881,0,87.14414144441115,87.0392749244713,100.0
218,7474,0,3,7452,3,22,0,3,7474,0,99.9598769559984,99.9598769559984,0.0,3,19,7455,0,99.74588738798984,99.74578538934975,100.0
444,10475,0,6,10376,16,89,0,16,10465,0,99.8473428108005,99.8473428108005,0.0,6,83,10392,0,99.20809083102758,99.20763723150358,100.0
443,11543,23,220,9472,502,1812,23,479,11284,0,95.93585610045817,95.9279095468843,100.0,218,1594,9972,2,86.45851009672492,86.21822583434204,99.0909090909091
485,6738,3,134,5663,48,1164,3,45,6827,0,99.34545454545454,99.34516880093132,100.0,134,1030,5711,0,85.01818181818182,84.72036789793799,100.0
484,8673,2,18,8112,82,499,2,80,8611,0,99.07971931439089,99.07950753653203,100.0,17,482,8193,1,94.443805360635,94.44380403458213,94.44444444444444
212,9063,12,48,8614,155,354,12,143,8968,0,98.43253315795243,98.430468664252,100.0,48,306,8769,0,96.64584018414996,96.62809917355372,100.0
437,490,0,0,423,25,42,0,25,465,0,94.89795918367348,94.89795918367348,0.0,0,42,448,0,91.42857142857143,91.42857142857143,0.0
219,5109,0,1,5021,5,84,0,5,5105,0,99.90215264187867,99.90215264187867,0.0,1,83,5026,0,98.37573385518591,98.37541593266785,100.0
452,10119,23,380,7570,545,2407,23,522,9977,0,95.03896597605018,95.02809791408706,100.0,379,2028,8114,1,80.71659380345942,80.0039439952672,99.73684210526315
401,6982,0,1,6670,100,213,0,100,6883,0,98.56795073750537,98.56795073750537,0.0,1,212,6770,0,96.96405556351138,96.96362073904325,100.0
451,1784,0,1,1698,34,53,0,34,1751,0,98.09523809523809,98.09523809523809,0.0,1,52,1732,0,97.08683473389355,97.08520179372198,100.0
230,5235,0,2,4926,113,198,0,113,5124,0,97.84227611227803,97.84227611227803,0.0,2,196,5039,0,96.25739927439373,96.2559694364852,100.0
439,9821,0,3,9670,23,131,0,23,9801,0,99.76587947882736,99.76587947882736,0.0,3,128,9693,0,98.69706840390879,98.69667040016292,100.0
216,6876,0,1,6420,110,347,0,110,6767,0,98.40046531917987,98.40046531917987,0.0,1,346,6530,0,94.96873636760215,94.96800465386853,100.0
476,2540,0,11,2162,85,304,0,85,2466,0,96.66797334378676,96.66797334378676,0.0,11,293,2247,0,88.51430811446491,88.46456692913385,100.0
403,3825,0,0,3769,2,54,0,2,3823,0,99.94771241830065,99.94771241830065,0.0,0,54,3771,0,98.58823529411764,98.58823529411764,0.0
