Number,Normal,PAC,PVC,pred_Normal,pred_PAC,pred_PVC,tp_PAC,fp_PAC,tn_PAC,fn_PAC,acc_PAC,sp_PAC,sn_PAC,tp_PVC,fp_PVC,tn_PVC,fn_PVC,acc_PVC,sp_PVC,sn_PVC
211,999,0,0,979,3,17,0,3,996,0,99.69969969969969,99.69969969969969,0.0,0,17,982,0,98.2982982982983,98.2982982982983,0.0
454,1573,6,54,1139,138,356,6,132,1495,0,91.91671769748928,91.88690842040566,100.0,54,302,1277,0,81.50642988364972,80.87397086763775,100.0
482,5275,0,48,4740,170,413,0,170,5153,0,96.80631222994552,96.80631222994552,0.0,47,366,4909,1,93.1053916964118,93.06161137440758,97.91666666666666
281,3310,0,27,2038,57,1242,0,57,3280,0,98.2918789331735,98.2918789331735,0.0,27,1215,2095,0,63.59005094396164,63.29305135951662,100.0
218,7474,0,3,7422,14,41,0,14,7463,0,99.8127591279925,99.8127591279925,0.0,3,38,7436,0,99.49177477597966,99.49157077869948,100.0
444,10475,0,6,10356,22,103,0,22,10459,0,99.79009636485068,99.79009636485068,0.0,6,97,10378,0,99.07451579047802,99.07398568019093,100.0
443,11543,23,220,7450,1345,2991,23,1322,10441,0,88.78330222297642,88.76137039870781,100.0,217,2774,8792,3,76.43814695401323,76.01590869790766,98.63636363636363
485,6738,3,134,4542,137,2196,3,134,6738,0,98.05090909090909,98.05005820721769,100.0,134,2062,4679,0,70.00727272727273,69.41106660732828,100.0
484,8673,2,18,7553,218,922,2,216,8475,0,97.51524214885539,97.51467034863653,100.0,18,904,7771,0,89.60082825261705,89.57925072046109,100.0
212,9063,12,48,8232,278,613,12,266,8845,0,97.08429244765976,97.08045220063659,100.0,48,565,8510,0,93.80686177792393,93.77410468319559,100.0
437,490,0,0,345,62,83,0,62,428,0,87.34693877551021,87.34693877551021,0.0,0,83,407,0,83.06122448979592,83.06122448979592,0.0
219,5109,0,1,4941,19,150,0,19,5091,0,99.62818003913895,99.62818003913895,0.0,1,149,4960,0,97.08414872798434,97.08357799960854,100.0
452,10119,23,380,4528,1585,4409,23,1562,8937,0,85.15491351454097,85.12239260881988,100.0,379,4030,6112,1,61.68979281505417,60.264247682902784,99.73684210526315
401,6982,0,1,6262,270,451,0,270,6713,0,96.1334669912645,96.1334669912645,0.0,1,450,6532,0,93.55577831877416,93.5548553423088,100.0
451,1784,0,1,1578,92,115,0,92,1693,0,94.84593837535013,94.84593837535013,0.0,1,114,1670,0,93.61344537815125,93.60986547085201,100.0
230,5235,0,2,4607,327,303,0,327,4910,0,93.75596715676913,93.75596715676913,0.0,2,301,4934,0,94.25243459996182,94.2502387774594,100.0
439,9821,0,3,9579,48,197,0,48,9776,0,99.51140065146579,99.51140065146579,0.0,3,194,9627,0,98.02524429967427,98.02464107524692,100.0
216,6876,0,1,6019,292,566,0,292,6585,0,95.75396248364112,95.75396248364112,0.0,1,565,6311,0,91.784208230333,91.78301337987202,100.0
476,2540,0,11,1696,215,640,0,215,2336,0,91.57193257546061,91.57193257546061,0.0,11,629,1911,0,75.34300274402194,75.23622047244093,100.0
403,3825,0,0,3704,12,109,0,12,3813,0,99.68627450980392,99.68627450980392,0.0,0,109,3716,0,97.15032679738562,97.15032679738562,0.0
