0.744,0.744,0.728,0.744,0.736,0.744
0.744,0.728,0.744,0.736,0.744,0.736
0.728,0.744,0.736,0.744,0.736,0.728
0.736,0.744,0.736,0.728,0.74,0.748
0.748,0.74,0.736,0.732,0.74,0.736
0.74,0.736,0.732,0.74,0.736,0.736
0.736,0.732,0.74,0.736,0.736,0.736
0.732,0.74,0.736,0.736,0.736,0.736
0.74,0.736,0.736,0.736,0.736,0.736
0.736,0.736,0.736,0.736,0.736,0.744
0.736,0.736,0.736,0.736,0.744,0.736
0.736,0.736,0.736,0.744,0.736,0.732
0.736,0.736,0.744,0.736,0.732,0.74
0.736,0.744,0.736,0.732,0.74,0.728
0.744,0.736,0.732,0.74,0.728,0.728
0.736,0.732,0.74,0.728,0.728,0.74
0.732,0.74,0.728,0.728,0.74,0.732
0.74,0.728,0.728,0.74,0.732,0.72
0.728,0.728,0.74,0.732,0.72,0.728
0.728,0.74,0.732,0.72,0.728,0.736
0.74,0.732,0.72,0.728,0.736,0.724
0.732,0.72,0.728,0.736,0.724,0.732
0.72,0.728,0.736,0.724,0.732,0.744
0.728,0.736,0.724,0.732,0.744,0.72
0.736,0.724,0.732,0.744,0.72,0.736
0.724,0.732,0.744,0.72,0.736,0.748
0.732,0.744,0.72,0.736,0.748,0.736
0.744,0.72,0.736,0.748,0.736,0.724
0.72,0.736,0.748,0.736,0.724,0.748
0.736,0.748,0.736,0.724,0.748,0.74
0.748,0.736,0.724,0.748,0.74,0.728
0.736,0.724,0.748,0.74,0.728,1.48
0.724,0.748,0.74,0.728,1.48,0.744
0.74,0.728,1.48,0.744,0.732,0.732
0.728,1.48,0.744,0.732,0.732,0.728
1.48,0.744,0.732,0.732,0.728,0.732
0.744,0.732,0.732,0.728,0.732,0.732
0.732,0.732,0.728,0.732,0.732,0.732
0.732,0.732,0.728,0.732,0.732,0.732
0.732,0.728,0.732,0.732,0.732,0.724
0.728,0.732,0.732,0.732,0.724,0.72
0.732,0.732,0.732,0.724,0.72,0.728
0.732,0.732,0.724,0.72,0.728,0.728
0.732,0.724,0.72,0.728,0.728,0.732
0.724,0.72,0.728,0.728,0.732,0.74
0.72,0.728,0.728,0.732,0.74,0.716
0.728,0.728,0.732,0.74,0.716,0.724
0.728,0.732,0.74,0.716,0.724,0.728
0.732,0.74,0.716,0.724,0.728,0.728
0.74,0.716,0.724,0.728,0.728,0.724
0.716,0.724,0.728,0.728,0.724,0.724
0.74,0.748,0.744,0.752,0.76,0.72
0.748,0.744,0.752,0.76,0.72,1.484
0.744,0.752,0.76,0.72,1.484,0.756
0.76,0.72,1.484,0.756,0.724,0.72
0.72,1.484,0.756,0.724,0.72,0.72
1.484,0.756,0.724,0.72,0.72,0.736
0.756,0.724,0.72,0.72,0.736,0.756
0.724,0.72,0.72,0.736,0.756,0.912
0.724,0.72,0.72,0.736,0.756,0.912
0.72,0.736,0.756,0.912,0.548,0.8
0.736,0.756,0.912,0.548,0.8,0.74
0.756,0.912,0.548,0.8,0.74,0.748
0.912,0.548,0.8,0.74,0.748,0.732
0.548,0.8,0.74,0.748,0.732,0.736
0.8,0.74,0.748,0.732,0.736,0.744
0.74,0.748,0.732,0.736,0.744,0.744
0.748,0.732,0.736,0.744,0.744,0.752
0.732,0.736,0.744,0.744,0.752,0.744
0.736,0.744,0.744,0.752,0.744,0.72
0.736,0.744,0.744,0.752,0.744,0.72
0.744,0.752,0.744,0.72,1.472,0.752
0.752,0.744,0.72,1.472,0.752,1.468
0.72,1.472,0.752,1.468,0.74,0.744
1.472,0.752,1.468,0.74,0.744,0.736
0.752,1.468,0.74,0.744,0.736,0.74
1.468,0.74,0.744,0.736,0.74,0.74
0.74,0.744,0.736,0.74,0.74,0.736
0.744,0.736,0.74,0.74,0.736,0.732
0.744,0.736,0.74,0.74,0.736,0.732
0.736,0.74,0.74,0.736,0.732,0.736
0.74,0.74,0.736,0.732,0.736,0.724
0.74,0.736,0.732,0.736,0.724,0.736
0.736,0.732,0.736,0.724,0.736,0.74
0.732,0.736,0.724,0.736,0.74,0.744
0.736,0.724,0.736,0.74,0.744,0.584
0.724,0.736,0.74,0.744,0.584,0.868
0.736,0.74,0.744,0.584,0.868,0.776
0.74,0.744,0.584,0.868,0.776,0.728
0.744,0.584,0.868,0.776,0.728,0.756
0.584,0.868,0.776,0.728,0.756,0.752
0.868,0.776,0.728,0.756,0.752,0.748
0.776,0.728,0.756,0.752,0.748,0.756
0.728,0.756,0.752,0.748,0.756,0.748
0.756,0.752,0.748,0.756,0.748,0.744
0.752,0.748,0.756,0.748,0.744,0.752
0.748,0.756,0.748,0.744,0.752,0.768
0.756,0.748,0.744,0.752,0.768,0.752
0.748,0.744,0.752,0.768,0.752,0.752
