Number,Normal,PAC,PVC,pred_Normal,pred_PAC,pred_PVC,tp_PAC,fp_PAC,tn_PAC,fn_PAC,acc_PAC,sp_PAC,sn_PAC,tp_PVC,fp_PVC,tn_PVC,fn_PVC,acc_PVC,sp_PVC,sn_PVC
211,999,0,0,981,3,15,0,3,996,0,99.69969969969969,99.69969969969969,0.0,0,15,984,0,98.49849849849849,98.49849849849849,0.0
454,1573,6,54,1208,117,308,6,111,1516,0,93.20269442743417,93.17762753534112,100.0,54,254,1325,0,84.44580526638089,83.91386953768207,100.0
482,5275,0,48,4819,135,369,0,135,5188,0,97.46383618260379,97.46383618260379,0.0,48,321,4954,0,93.96956603419125,93.91469194312796,100.0
281,3310,0,27,2277,50,1010,0,50,3287,0,98.5016481869943,98.5016481869943,0.0,27,983,2327,0,70.54240335630806,70.30211480362539,100.0
218,7474,0,3,7427,12,38,0,12,7465,0,99.83950782399359,99.83950782399359,0.0,3,35,7439,0,99.53189781998127,99.53170992774953,100.0
444,10475,0,6,10349,22,110,0,22,10459,0,99.79009636485068,99.79009636485068,0.0,6,104,10371,0,99.00772827020322,99.0071599045346,100.0
443,11543,23,220,8002,1093,2691,23,1070,10693,0,90.92143220770406,90.90368103374989,100.0,218,2473,9093,2,79.00050907856779,78.61836417084558,99.0909090909091
485,6738,3,134,4837,112,1926,3,109,6763,0,98.41454545454546,98.4138533178114,100.0,134,1792,4949,0,73.93454545454546,73.41640706126688,100.0
484,8673,2,18,7718,170,805,2,168,8523,0,98.06741056022086,98.0669658267173,100.0,18,787,7888,0,90.94673875532038,90.9279538904899,100.0
212,9063,12,48,8310,268,545,12,256,8855,0,97.19390551353722,97.19020963670289,100.0,48,497,8578,0,94.55223062589062,94.52341597796143,100.0
437,490,0,0,359,54,77,0,54,436,0,88.9795918367347,88.9795918367347,0.0,0,77,413,0,84.28571428571429,84.28571428571429,0.0
219,5109,0,1,4972,10,128,0,10,5100,0,99.80430528375733,99.80430528375733,0.0,1,127,4982,0,97.5146771037182,97.51419064396164,100.0
452,10119,23,380,5247,1296,3979,23,1273,9226,0,87.90153963124881,87.8750357176874,100.0,379,3600,6542,1,65.77646835202432,64.50404259514887,99.73684210526315
401,6982,0,1,6391,217,375,0,217,6766,0,96.89245310038666,96.89245310038666,0.0,1,374,6608,0,94.64413575827008,94.64336866227441,100.0
451,1784,0,1,1625,69,91,0,69,1716,0,96.1344537815126,96.1344537815126,0.0,1,90,1694,0,94.9579831932773,94.95515695067265,100.0
230,5235,0,2,4684,263,290,0,263,4974,0,94.97804086308955,94.97804086308955,0.0,2,288,4947,0,94.50066832155815,94.49856733524355,100.0
439,9821,0,3,9589,44,191,0,44,9780,0,99.55211726384366,99.55211726384366,0.0,3,188,9633,0,98.08631921824104,98.08573465023929,100.0
216,6876,0,1,6099,247,531,0,247,6630,0,96.40831758034027,96.40831758034027,0.0,1,530,6346,0,92.2931510833212,92.29203025014543,100.0
476,2540,0,11,1821,179,551,0,179,2372,0,92.98314386515092,92.98314386515092,0.0,11,540,2000,0,78.83183065464524,78.74015748031496,100.0
403,3825,0,0,3725,8,92,0,8,3817,0,99.79084967320262,99.79084967320262,0.0,0,92,3733,0,97.59477124183007,97.59477124183007,0.0
