Number,Normal,PAC,PVC,pred_Normal,pred_PAC,pred_PVC,tp_PAC,fp_PAC,tn_PAC,fn_PAC,acc_PAC,sp_PAC,sn_PAC,tp_PVC,fp_PVC,tn_PVC,fn_PVC,acc_PVC,sp_PVC,sn_PVC
211,999,0,0,964,23,12,0,23,976,0,97.69769769769769,97.69769769769769,0.0,0,12,987,0,98.7987987987988,98.7987987987988,0.0
454,1573,6,54,1451,74,108,0,74,1553,6,95.10104102878138,95.45175169022741,0.0,3,105,1474,51,90.4470300061237,93.35022165927802,5.555555555555555
482,5275,0,48,4275,456,592,0,456,4867,0,91.43340221679505,91.43340221679505,0.0,40,552,4723,8,89.4796167574676,89.53554502369668,83.33333333333334
281,3310,0,27,519,367,2451,0,367,2970,0,89.0020976925382,89.0020976925382,0.0,19,2432,878,8,26.880431525322145,26.525679758308158,70.37037037037037
218,7474,0,3,7388,52,37,0,52,7425,0,99.30453390397219,99.30453390397219,0.0,0,37,7437,3,99.4650260799786,99.5049504950495,0.0
444,10475,0,6,10376,55,50,0,55,10426,0,99.47524091212671,99.47524091212671,0.0,5,45,10430,1,99.56111058105142,99.57040572792363,83.33333333333334
443,11543,23,220,2831,7134,1821,18,7116,4647,5,39.58085864585101,39.505228258097425,78.26086956521739,148,1673,9893,72,85.19429832004073,85.53518934808922,67.27272727272727
485,6738,3,134,1595,1062,4218,3,1059,5813,0,84.59636363636363,84.58963911525029,100.0,90,4128,2613,44,39.31636363636364,38.762794837561195,67.16417910447761
484,8673,2,18,8448,96,149,0,96,8595,2,98.87265616012884,98.89540904383846,0.0,1,148,8527,17,98.10192108593121,98.29394812680115,5.555555555555555
212,9063,12,48,8343,350,430,12,338,8773,0,96.29507837334211,96.29019866095928,100.0,43,387,8688,5,95.70316781760386,95.73553719008264,89.58333333333334
437,490,0,0,130,303,57,0,303,187,0,38.163265306122454,38.163265306122454,0.0,0,57,433,0,88.36734693877551,88.36734693877551,0.0
219,5109,0,1,4987,56,67,0,56,5054,0,98.9041095890411,98.9041095890411,0.0,0,67,5042,1,98.66927592954991,98.68858876492465,0.0
452,10119,23,380,2356,3821,4345,21,3800,6699,2,63.86618513590572,63.80607676921611,91.30434782608695,303,4042,6100,77,60.85344991446493,60.14592782488661,79.73684210526316
401,6982,0,1,6792,117,74,0,117,6866,0,98.32450236288128,98.32450236288128,0.0,1,73,6909,0,98.95460403837892,98.95445431108566,100.0
451,1784,0,1,1320,313,152,0,313,1472,0,82.46498599439775,82.46498599439775,0.0,0,152,1632,1,91.42857142857143,91.4798206278027,0.0
230,5235,0,2,5221,10,6,0,10,5227,0,99.80905098338744,99.80905098338744,0.0,2,4,5231,0,99.92362039335497,99.92359121298949,100.0
439,9821,0,3,9597,125,102,0,125,9699,0,98.72760586319218,98.72760586319218,0.0,0,102,9719,3,98.93118892508144,98.96140922512983,0.0
216,6876,0,1,6533,149,195,0,149,6728,0,97.83335756870729,97.83335756870729,0.0,1,194,6682,0,97.17900247200815,97.17859220477023,100.0
476,2540,0,11,544,1004,1003,0,1004,1547,0,60.64288514308115,60.64288514308115,0.0,3,1000,1540,8,60.486083888671104,60.629921259842526,27.27272727272727
403,3825,0,0,3798,12,15,0,12,3813,0,99.68627450980392,99.68627450980392,0.0,0,15,3810,0,99.6078431372549,99.6078431372549,0.0
