Number,Normal,PAC,PVC,pred_Normal,pred_PAC,pred_PVC,tp_PAC,fp_PAC,tn_PAC,fn_PAC,acc_PAC,sp_PAC,sn_PAC,tp_PVC,fp_PVC,tn_PVC,fn_PVC,acc_PVC,sp_PVC,sn_PVC
211,999,0,0,976,3,20,0,3,996,0,99.69969969969969,99.69969969969969,0.0,0,20,979,0,97.997997997998,97.997997997998,0.0
454,1573,6,54,1084,151,398,6,145,1482,0,91.12063686466627,91.08789182544561,100.0,54,344,1235,0,78.93447642375995,78.21405953134895,100.0
482,5275,0,48,4617,204,502,0,204,5119,0,96.16757467593462,96.16757467593462,0.0,47,455,4820,1,91.43340221679505,91.37440758293839,97.91666666666666
281,3310,0,27,1768,73,1496,0,73,3264,0,97.81240635301168,97.81240635301168,0.0,27,1469,1841,0,55.97842373389271,55.61933534743202,100.0
218,7474,0,3,7410,20,47,0,20,7457,0,99.7325130399893,99.7325130399893,0.0,3,44,7430,0,99.41152868797646,99.41129248059941,100.0
444,10475,0,6,10365,25,91,0,25,10456,0,99.76147314187578,99.76147314187578,0.0,6,85,10390,0,99.18900868237763,99.18854415274463,100.0
443,11543,23,220,6772,1619,3395,23,1596,10167,0,86.45851009672492,86.4320326447335,100.0,217,3178,8388,3,73.01035126421178,72.52291198339962,98.63636363636363
485,6738,3,134,4139,173,2563,3,170,6702,0,97.52727272727273,97.52619324796274,100.0,134,2429,4312,0,64.66909090909091,63.966770508826585,100.0
484,8673,2,18,7343,306,1044,2,304,8387,0,96.50293339468537,96.50212863882177,100.0,18,1026,7649,0,88.19740020706315,88.17291066282421,100.0
212,9063,12,48,8121,325,677,12,313,8798,0,96.56911103803574,96.56459225112502,100.0,48,629,8446,0,93.10533815630824,93.06887052341598,100.0
437,490,0,0,314,79,97,0,79,411,0,83.87755102040816,83.87755102040816,0.0,0,97,393,0,80.20408163265306,80.20408163265306,0.0
219,5109,0,1,4909,21,180,0,21,5089,0,99.58904109589041,99.58904109589041,0.0,1,179,4930,0,96.49706457925636,96.49637893912703,100.0
452,10119,23,380,3717,1948,4857,23,1925,8574,0,81.70499904961034,81.66492046861606,100.0,379,4478,5664,1,57.432047139327125,55.84697298363241,99.73684210526315
401,6982,0,1,6099,346,538,0,346,6637,0,95.04510955176858,95.04510955176858,0.0,1,537,6445,0,92.30989546040384,92.30879404182183,100.0
451,1784,0,1,1547,95,143,0,95,1690,0,94.67787114845937,94.67787114845937,0.0,1,142,1642,0,92.04481792717087,92.04035874439462,100.0
230,5235,0,2,4511,372,354,0,372,4865,0,92.89669658201261,92.89669658201261,0.0,2,352,4883,0,93.27859461523774,93.27602674307546,100.0
439,9821,0,3,9573,53,198,0,53,9771,0,99.46050488599349,99.46050488599349,0.0,3,195,9626,0,98.0150651465798,98.01445881274819,100.0
216,6876,0,1,5917,358,602,0,358,6519,0,94.79424167514905,94.79424167514905,0.0,1,601,6275,0,91.26072415297368,91.25945317044794,100.0
476,2540,0,11,1530,267,754,0,267,2284,0,89.53351626813014,89.53351626813014,0.0,11,743,1797,0,70.87416699333595,70.74803149606299,100.0
403,3825,0,0,3666,19,140,0,19,3806,0,99.50326797385621,99.50326797385621,0.0,0,140,3685,0,96.33986928104575,96.33986928104575,0.0
