Number,Normal,PAC,PVC,pred_Normal,pred_PAC,pred_PVC,tp_PAC,fp_PAC,tn_PAC,fn_PAC,acc_PAC,sp_PAC,sn_PAC,tp_PVC,fp_PVC,tn_PVC,fn_PVC,acc_PVC,sp_PVC,sn_PVC
211,999,0,0,980,3,16,0,3,996,0,99.69969969969969,99.69969969969969,0.0,0,16,983,0,98.3983983983984,98.3983983983984,0.0
454,1573,6,54,1231,108,294,6,102,1525,0,93.75382731169627,93.73079287031346,100.0,54,240,1339,0,85.30312308634416,84.80050664977834,100.0
482,5275,0,48,4847,126,350,0,126,5197,0,97.6329137704302,97.6329137704302,0.0,48,302,4973,0,94.32650760849145,94.27488151658768,100.0
281,3310,0,27,2370,49,918,0,49,3288,0,98.53161522325442,98.53161522325442,0.0,27,891,2419,0,73.29937069223854,73.08157099697885,100.0
218,7474,0,3,7437,8,32,0,8,7469,0,99.89300521599573,99.89300521599573,0.0,3,29,7445,0,99.61214390798449,99.61198822584961,100.0
444,10475,0,6,10348,21,112,0,21,10460,0,99.79963743917565,99.79963743917565,0.0,6,106,10369,0,98.98864612155329,98.98806682577566,100.0
443,11543,23,220,8270,974,2542,23,951,10812,0,91.9311047004921,91.91532772251976,100.0,218,2324,9242,2,80.264720855252,79.9066228601072,99.0909090909091
485,6738,3,134,4985,91,1799,3,88,6784,0,98.72,98.71944121071013,100.0,134,1665,5076,0,75.78181818181818,75.3004005340454,100.0
484,8673,2,18,7752,154,787,2,152,8539,0,98.25146669734269,98.25106431941089,100.0,18,769,7906,0,91.15380190958243,91.13544668587896,100.0
212,9063,12,48,8364,250,509,12,238,8873,0,97.39120903211663,97.38777302162221,100.0,48,461,8614,0,94.94683766304944,94.92011019283747,100.0
437,490,0,0,374,47,69,0,47,443,0,90.40816326530611,90.40816326530611,0.0,0,69,421,0,85.91836734693878,85.91836734693878,0.0
219,5109,0,1,4989,9,112,0,9,5101,0,99.82387475538161,99.82387475538161,0.0,1,111,4998,0,97.82778864970646,97.82736347621844,100.0
452,10119,23,380,5622,1148,3752,23,1125,9374,0,89.30811632769435,89.28469378036003,100.0,379,3373,6769,1,67.93385287968067,66.74225990928811,99.73684210526315
401,6982,0,1,6431,210,342,0,210,6773,0,96.99269654876129,96.99269654876129,0.0,1,341,6641,0,95.11671201489331,95.11601260383844,100.0
451,1784,0,1,1637,67,81,0,67,1718,0,96.24649859943978,96.24649859943978,0.0,1,80,1704,0,95.51820728291317,95.51569506726457,100.0
230,5235,0,2,4709,246,282,0,246,4991,0,95.30265419133092,95.30265419133092,0.0,2,280,4955,0,94.6534275348482,94.65138490926456,100.0
439,9821,0,3,9609,42,173,0,42,9782,0,99.57247557003257,99.57247557003257,0.0,3,170,9651,0,98.26954397394137,98.26901537521637,100.0
216,6876,0,1,6130,234,513,0,234,6643,0,96.59735349716446,96.59735349716446,0.0,1,512,6364,0,92.55489312200086,92.55381035485748,100.0
476,2540,0,11,1886,160,505,0,160,2391,0,93.72794982359859,93.72794982359859,0.0,11,494,2046,0,80.63504508036064,80.55118110236221,100.0
403,3825,0,0,3727,7,91,0,7,3818,0,99.81699346405229,99.81699346405229,0.0,0,91,3734,0,97.62091503267973,97.62091503267973,0.0
