Number,Normal,PAC,PVC,pred_Normal,pred_PAC,pred_PVC,tp_PAC,fp_PAC,tn_PAC,fn_PAC,acc_PAC,sp_PAC,sn_PAC,tp_PVC,fp_PVC,tn_PVC,fn_PVC,acc_PVC,sp_PVC,sn_PVC
211,999,0,0,979,3,17,0,3,996,0,99.69969969969969,99.69969969969969,0.0,0,17,982,0,98.2982982982983,98.2982982982983,0.0
454,1573,6,54,1180,127,326,6,121,1506,0,92.59032455603185,92.56299938537185,100.0,54,272,1307,0,83.3435394978567,82.77390753641545,100.0
482,5275,0,48,4795,147,381,0,147,5176,0,97.23839939883524,97.23839939883524,0.0,47,334,4941,1,93.70655645312793,93.66824644549763,97.91666666666666
281,3310,0,27,2174,50,1113,0,50,3287,0,98.5016481869943,98.5016481869943,0.0,27,1086,2224,0,67.45579862151632,67.19033232628398,100.0
218,7474,0,3,7425,13,39,0,13,7464,0,99.82613347599305,99.82613347599305,0.0,3,36,7438,0,99.51852347198073,99.51833021139952,100.0
444,10475,0,6,10350,22,109,0,22,10459,0,99.79009636485068,99.79009636485068,0.0,6,103,10372,0,99.01726934452819,99.01670644391409,100.0
443,11543,23,220,7781,1182,2823,23,1159,10604,0,90.16629899881215,90.14707132534218,100.0,218,2605,8961,2,77.88053622942475,77.47708801660038,99.0909090909091
485,6738,3,134,4701,121,2053,3,118,6754,0,98.28363636363636,98.28288707799767,100.0,134,1919,4822,0,72.08727272727272,71.53241358848835,100.0
484,8673,2,18,7672,186,835,2,184,8507,0,97.88335442309905,97.8828673340237,100.0,18,817,7858,0,90.60163349821696,90.5821325648415,100.0
212,9063,12,48,8275,272,576,12,260,8851,0,97.15006028718624,97.14630666227637,100.0,48,528,8547,0,94.2124301216705,94.18181818181817,100.0
437,490,0,0,352,60,78,0,60,430,0,87.75510204081633,87.75510204081633,0.0,0,78,412,0,84.08163265306122,84.08163265306122,0.0
219,5109,0,1,4967,8,135,0,8,5102,0,99.84344422700588,99.84344422700588,0.0,1,134,4975,0,97.37769080234834,97.37717752984929,100.0
452,10119,23,380,4928,1412,4182,23,1389,9110,0,86.79908762592663,86.77016858748452,100.0,379,3803,6339,1,63.847177342710516,62.502464997042004,99.73684210526315
401,6982,0,1,6326,239,418,0,239,6744,0,96.57740226263783,96.57740226263783,0.0,1,417,6565,0,94.02835457539739,94.02749928387281,100.0
451,1784,0,1,1607,82,96,0,82,1703,0,95.406162464986,95.406162464986,0.0,1,95,1689,0,94.67787114845937,94.67488789237667,100.0
230,5235,0,2,4652,288,297,0,288,4949,0,94.50066832155815,94.50066832155815,0.0,2,295,4940,0,94.36700400992935,94.36485195797518,100.0
439,9821,0,3,9586,45,193,0,45,9779,0,99.54193811074919,99.54193811074919,0.0,3,190,9631,0,98.06596091205212,98.06537012524183,100.0
216,6876,0,1,6082,263,532,0,263,6614,0,96.1756579904028,96.1756579904028,0.0,1,531,6345,0,92.27860985895012,92.27748691099477,100.0
476,2540,0,11,1769,194,588,0,194,2357,0,92.39513916111329,92.39513916111329,0.0,11,577,1963,0,77.38141905135241,77.28346456692914,100.0
403,3825,0,0,3710,9,106,0,9,3816,0,99.76470588235294,99.76470588235294,0.0,0,106,3719,0,97.22875816993464,97.22875816993464,0.0
