Number,Normal,PAC,PVC,pred_Normal,pred_PAC,pred_PVC,tp_PAC,fp_PAC,tn_PAC,fn_PAC,acc_PAC,sp_PAC,sn_PAC,tp_PVC,fp_PVC,tn_PVC,fn_PVC,acc_PVC,sp_PVC,sn_PVC
211,999,0,0,979,3,17,0,3,996,0,99.69969969969969,99.69969969969969,0.0,0,17,982,0,98.2982982982983,98.2982982982983,0.0
454,1573,6,54,1134,141,358,6,135,1492,0,91.73300673606859,91.70251997541487,100.0,54,304,1275,0,81.38395590936925,80.74730842305257,100.0
482,5275,0,48,4727,176,420,0,176,5147,0,96.69359383806125,96.69359383806125,0.0,47,373,4902,1,92.97388690588015,92.92890995260663,97.91666666666666
281,3310,0,27,1996,62,1279,0,62,3275,0,98.14204375187295,98.14204375187295,0.0,27,1252,2058,0,62.481270602337425,62.17522658610272,100.0
218,7474,0,3,7421,14,42,0,14,7463,0,99.8127591279925,99.8127591279925,0.0,3,39,7435,0,99.47840042797914,99.47819106234948,100.0
444,10475,0,6,10349,22,110,0,22,10459,0,99.79009636485068,99.79009636485068,0.0,6,104,10371,0,99.00772827020322,99.0071599045346,100.0
443,11543,23,220,7342,1396,3048,23,1373,10390,0,88.35058544035296,88.32780753209215,100.0,217,2831,8735,3,75.95452231461056,75.52308490402905,98.63636363636363
485,6738,3,134,4474,142,2259,3,139,6733,0,97.97818181818182,97.97729918509896,100.0,134,2125,4616,0,69.0909090909091,68.47648716807595,100.0
484,8673,2,18,7523,226,944,2,224,8467,0,97.42321408029449,97.42262110228972,100.0,18,926,7749,0,89.34775106407454,89.3256484149856,100.0
212,9063,12,48,8212,286,625,12,274,8837,0,96.9966019949578,96.99264625178355,100.0,48,577,8498,0,93.67532609887098,93.64187327823691,100.0
437,490,0,0,337,67,86,0,67,423,0,86.3265306122449,86.3265306122449,0.0,0,86,404,0,82.44897959183673,82.44897959183673,0.0
219,5109,0,1,4933,19,158,0,19,5091,0,99.62818003913895,99.62818003913895,0.0,1,157,4952,0,96.92759295499022,96.92699158348013,100.0
452,10119,23,380,4404,1650,4468,23,1627,8872,0,84.53716023569665,84.50328602724069,100.0,379,4089,6053,1,61.12906291579547,59.682508380989944,99.73684210526315
401,6982,0,1,6233,282,468,0,282,6701,0,95.96162107976515,95.96162107976515,0.0,1,467,6515,0,93.31232994415008,93.3113720996849,100.0
451,1784,0,1,1571,93,121,0,93,1692,0,94.78991596638654,94.78991596638654,0.0,1,120,1664,0,93.27731092436974,93.27354260089686,100.0
230,5235,0,2,4576,339,322,0,339,4898,0,93.52682833683407,93.52682833683407,0.0,2,320,4915,0,93.88963146839794,93.8872970391595,100.0
439,9821,0,3,9580,49,195,0,49,9775,0,99.50122149837134,99.50122149837134,0.0,3,192,9629,0,98.0456026058632,98.04500560024437,100.0
216,6876,0,1,5990,303,584,0,303,6574,0,95.59400901555911,95.59400901555911,0.0,1,583,6293,0,91.52246619165334,91.52123327515997,100.0
476,2540,0,11,1672,219,660,0,219,2332,0,91.41513132105057,91.41513132105057,0.0,11,649,1891,0,74.55899647197177,74.44881889763779,100.0
403,3825,0,0,3695,14,116,0,14,3811,0,99.63398692810458,99.63398692810458,0.0,0,116,3709,0,96.9673202614379,96.9673202614379,0.0
